t1,t2,t3,d1,d2,d3,PN,Qeff,DT,BW
1042,786,512,1.88e+18,678000000000000,1.21e+17,-167.85584709583,0.336046977833585,55.9413428703444,16.4044463915583
873,758,161,1.29e+18,762000000000000,1.38e+17,-168.718056954306,0.259716428642254,45.9196718972138,17.9934228499314
512,692,134,1.53e+18,268000000000000,1.74e+18,-169.185199251655,0.261472887862298,39.4752575007396,19.8138163741529
512,692,134,1.53e+18,268000000000000,1.74e+18,-169.185199251655,0.261472887862298,39.4752575007396,19.8138163741529
821,690,480,1.95e+18,7.35e+15,3.52e+17,-167.800540076383,0.3290535765434,51.902405640116,16.0103190913945
863,625,596,1.73e+18,4.45e+15,3.2e+17,-167.151730414154,0.336961775336895,55.4056313709818,14.9002851518274
863,625,596,1.73e+18,4.45e+15,3.2e+17,-167.151730414154,0.336961775336895,55.4056313709818,14.9002851518274
648,855,100,8.72e+18,456000000000000,1.77e+17,-169.062465555098,0.270148967875433,45.9196718972138,19.3789856710522
648,855,100,8.72e+18,456000000000000,1.77e+17,-169.062465555098,0.270148967875433,45.9196718972138,19.3789856710522
1407,996,357,6.99e+17,1.01e+15,1.67e+17,-168.429326374593,0.309741638957805,55.9413428703444,16.5363551839955
533,580,585,1.47e+18,450000000000000,2.18e+17,-168.248747091644,0.342424599249692,42.3563629972524,18.296265780732
669,803,128,1.15e+18,154000000000000,2.05e+18,-169.745580698353,0.270709794674095,40.0109690001022,19.9291400580396
847,957,371,7.76e+18,3.23e+15,1.46e+18,-168.458457546273,0.339859509898958,52.4381171394786,17.5992644972919
1119,927,477,1.23e+18,1.14e+15,5.28e+18,-168.536552564548,0.344754668159089,52.4381171394786,16.9234985222186
759,652,910,5.92e+18,327000000000000,1.92e+18,-166.890017645895,0.397599273268249,55.4056313709818,14.8598328534184
100,527,1000,7.63e+18,1e+16,1e+17,-167.503030696375,0.380096312724063,42.892074496615,19.6246826506591
320,692,134,1.53e+18,2e+15,1.74e+18,-169.27759893167,0.272609708215338,40.0109690001022,20.8361852175606
1500,1000,1000,7.38e+18,3e+15,3.89e+17,-167.170388561316,0.395841414702363,68.0020828506009,15.0187452355342
998,937,463,7.6e+18,292000000000000,1.51e+17,-168.004043897173,0.34323463267276,59.6158276745531,17.4699347482786
533,580,585,1.47e+18,450000000000000,2.18e+17,-168.248747091644,0.342424599249692,42.3563629972524,18.296265780732
847,957,371,7.76e+18,3.23e+15,1.46e+18,-168.458457546273,0.339859509898958,52.4381171394786,17.5992644972919
1100,681,764,4.01e+17,8.28e+15,2.58e+17,-167.846804121953,0.376280155786739,51.325293785541,15.2691696753449
1100,681,764,4.01e+17,8.28e+15,2.58e+17,-167.846804121953,0.376280155786739,51.325293785541,15.2691696753449
100,527,1000,7.63e+18,1e+16,1e+17,-167.503030696375,0.380096312724063,42.892074496615,19.6246826506591
1240,995,552,7.51e+17,100000000000000,5.83e+18,-168.813085890089,0.363179193476963,52.4381171394786,17.0314210463558
1500,1000,754,6.8e+17,715000000000000,2.39e+18,-168.185440282093,0.381639227923543,59.6158276745531,15.9189778776755
670,668,701,2.13e+18,401000000000000,2.09e+17,-168.514927855597,0.376456942222442,45.3839603978512,17.9989056295565
1500,1000,754,6.8e+17,715000000000000,2.39e+18,-168.185440282093,0.381639227923543,59.6158276745531,15.9189778776755
1150,775,775,3.16e+17,316000000000000,3.16e+18,-168.574348513713,0.396038670583811,48.5639448943129,16.3912679008818
575,766,416,3.44e+18,6.63e+15,2.06e+17,-169.297648305975,0.346540823924971,42.3563629972524,19.4814826819798
1475,994,902,1.29e+18,2.89e+15,1.12e+17,-167.867881393787,0.399239272798162,63.4682769167893,15.890835731573
1500,1000,754,6.8e+17,715000000000000,2.39e+18,-168.185440282093,0.381639227923543,59.6158276745531,15.9189778776755
591,849,240,4.07e+18,6.62e+15,2.44e+17,-169.604326960524,0.3157651154899,42.3563629972524,19.7010353873983
1339,791,911,2.96e+17,3.27e+15,2.71e+17,-168.127416321847,0.410636858072621,55.4056313709818,15.4737614845941
575,766,416,3.44e+18,6.63e+15,2.06e+17,-169.297648305975,0.346540823924971,42.3563629972524,19.4814826819798
1240,995,552,7.51e+17,100000000000000,5.83e+18,-168.813085890089,0.363179193476963,52.4381171394786,17.0314210463558
340,605,714,6.92e+18,896000000000000,1.13e+17,-168.821264480853,0.379512118332699,39.4752575007396,20.3770171495562
