t1,t2,t3,ds1,ds2,ds3,df1,df2,df3,PhaseNoise,QuantEff,Bandwidth,MaxCurrent,DecayTime
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
350,1000,795,5.48E+17,7.07E+14,5.48E+17,5.48E+17,7.07E+14,5.48E+17,-170.9807144,0.466241993,21.59199988,0.000445392,34.66559006
500,1003,1000,1.58E+18,1.39E+15,2.48E+17,1.77E+18,1.06E+15,1.68E+18,-170.9264465,0.487495265,21.25895973,0.000460279,34.66559006
500,956,999,1.71E+18,2.04E+15,2.33E+17,2.01E+18,1.32E+15,1.52E+18,-170.8179916,0.479538353,21.31997907,0.000449717,34.66559006
1186,850,1000,1.00E+18,4.52E+15,1.31E+17,1.68E+18,1.37E+15,1.37E+18,-168.1118083,0.408251634,16.31072153,0.000474744,55.94134287
119,947,1663,4.36E+18,1.62E+15,1.15E+17,3.23E+17,1.12E+14,2.80E+17,-170.9108727,0.563072324,21.83515328,0.000411966,32.19044747
200,993,2000,8.00E+18,1.26E+15,1.00E+17,4.21E+17,2.22E+14,1.90E+17,-171.130556,0.602179327,21.77956134,0.000437233,32.19044747
200,989,1994,8.00E+18,1.85E+15,1.00E+17,4.31E+17,2.53E+14,1.76E+17,-171.1084767,0.600932527,21.76923147,0.000436278,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
195,997,2000,8.00E+18,1.33E+15,1.00E+17,4.25E+17,2.25E+14,1.90E+17,-171.1227013,0.602704165,21.77027001,0.000437416,32.19044747
198,970,2000,6.00E+18,1.00E+15,1.00E+17,5.59E+17,1.28E+14,3.00E+17,-171.1215918,0.59506589,21.82752487,0.000430548,32.19044747
200,1020,1951,8.00E+18,2.11E+15,1.20E+17,5.25E+17,2.69E+14,1.74E+17,-171.0700235,0.604781548,21.64359975,0.000443249,34.66559006
200,984,1995,8.00E+18,1.93E+15,1.00E+17,4.35E+17,2.47E+14,1.75E+17,-171.1038902,0.59988143,21.77701557,0.000435106,32.19044747
500,1016,1000,1.58E+18,1.33E+15,2.46E+17,1.75E+18,1.06E+15,1.66E+18,-170.9415569,0.489552561,21.21929939,0.000463112,34.66559006
